Ambient Air Tenperature (°C);Pipe Surface Temperature (°C);Water Leakage;Date;Time
23.61 ; 35.04 ; Hot Water Leak;2017-01-18;01:44:59pm
23.62 ; 35.04 ; Hot Water Leak;2017-01-18;01:45:01pm
23.61 ; 35.02 ; Hot Water Leak;2017-01-18;01:45:02pm
23.62 ; 35.05 ; Hot Water Leak;2017-01-18;01:45:03pm
23.63 ; 35.03 ; Hot Water Leak;2017-01-18;01:45:04pm
23.63 ; 35.04 ; Hot Water Leak;2017-01-18;01:45:05pm
23.62 ; 35.03 ; Hot Water Leak;2017-01-18;01:45:07pm
23.63 ; 35.05 ; Hot Water Leak;2017-01-18;01:45:08pm
23.63 ; 35.04 ; Hot Water Leak;2017-01-18;01:45:09pm
23.63 ; 35.04 ; Hot Water Leak;2017-01-18;01:45:10pm
23.64 ; 35.03 ; Hot Water Leak;2017-01-18;01:45:12pm
23.64 ; 35.03 ; Hot Water Leak;2017-01-18;01:45:13pm
23.64 ; 35.02 ; Hot Water Leak;2017-01-18;01:45:14pm
23.65 ; 35.02 ; Hot Water Leak;2017-01-18;01:45:15pm
23.66 ; 35.03 ; Hot Water Leak;2017-01-18;01:45:16pm
23.66 ; 35.01 ; Hot Water Leak;2017-01-18;01:45:18pm
23.65 ; 35.00 ; Hot Water Leak;2017-01-18;01:45:19pm
23.67 ; 35.01 ; Hot Water Leak;2017-01-18;01:45:20pm
23.66 ; 35.02 ; Hot Water Leak;2017-01-18;01:45:21pm
23.65 ; 35.02 ; Hot Water Leak;2017-01-18;01:45:23pm
23.66 ; 35.01 ; Hot Water Leak;2017-01-18;01:45:24pm
23.65 ; 35.01 ; Hot Water Leak;2017-01-18;01:45:25pm
23.65 ; 35.01 ; Hot Water Leak;2017-01-18;01:45:26pm
23.64 ; 35.00 ; Hot Water Leak;2017-01-18;01:45:27pm
23.64 ; 35.01 ; Hot Water Leak;2017-01-18;01:45:29pm
23.64 ; 34.99 ; Hot Water Leak;2017-01-18;01:45:30pm
23.63 ; 35.00 ; Hot Water Leak;2017-01-18;01:45:31pm
23.64 ; 35.01 ; Hot Water Leak;2017-01-18;01:45:32pm
23.64 ; 35.01 ; Hot Water Leak;2017-01-18;01:45:34pm
23.63 ; 35.01 ; Hot Water Leak;2017-01-18;01:45:35pm
23.63 ; 35.02 ; Hot Water Leak;2017-01-18;01:45:36pm
23.63 ; 35.01 ; Hot Water Leak;2017-01-18;01:45:37pm
23.63 ; 35.02 ; Hot Water Leak;2017-01-18;01:45:38pm
23.62 ; 35.01 ; Hot Water Leak;2017-01-18;01:45:40pm
23.62 ; 35.02 ; Hot Water Leak;2017-01-18;01:45:41pm
23.62 ; 35.01 ; Hot Water Leak;2017-01-18;01:45:42pm
23.63 ; 35.01 ; Hot Water Leak;2017-01-18;01:45:43pm
23.62 ; 35.01 ; Hot Water Leak;2017-01-18;01:45:45pm
23.62 ; 35.01 ; Hot Water Leak;2017-01-18;01:45:46pm
23.61 ; 35.00 ; Hot Water Leak;2017-01-18;01:45:47pm
23.61 ; 35.00 ; Hot Water Leak;2017-01-18;01:45:48pm
23.62 ; 35.00 ; Hot Water Leak;2017-01-18;01:45:49pm
23.62 ; 34.99 ; Hot Water Leak;2017-01-18;01:45:51pm
23.61 ; 34.99 ; Hot Water Leak;2017-01-18;01:45:52pm
23.61 ; 34.99 ; Hot Water Leak;2017-01-18;01:45:53pm
23.61 ; 34.99 ; Hot Water Leak;2017-01-18;01:45:54pm
23.59 ; 35.02 ; Hot Water Leak;2017-01-18;01:45:56pm
23.59 ; 35.02 ; Hot Water Leak;2017-01-18;01:45:57pm
23.60 ; 35.03 ; Hot Water Leak;2017-01-18;01:45:58pm
23.61 ; 35.03 ; Hot Water Leak;2017-01-18;01:45:59pm
